Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Cytoplasmic Vesicle Membrane (GO:0030659),3/389,0.2345306039649551,0.3537253952177104,0,0,1.8285785629564892,2.6517482976958666,GGA2;TBC1D5;PAM
GO_Cellular_Component_2023,Spindle (GO:0005819),2/210,0.2283374005778037,0.3537253952177104,0,0,2.255723443223443,3.33154769304085,KIF4A;TPR
GO_Cellular_Component_2023,Condensed Chromosome (GO:0000793),1/60,0.228129634375795,0.3537253952177104,0,0,3.9591226321036888,5.850954699068187,CHEK1
GO_Cellular_Component_2023,Microvillus (GO:0005902),1/58,0.2214287694166872,0.3537253952177104,0,0,4.098452012383901,6.179048898114302,MYO1E
GO_Cellular_Component_2023,Axon (GO:0030424),2/205,0.2204255050665611,0.3537253952177104,0,0,2.3118695754163734,3.4959987377397814,PALLD;DTNBP1
GO_Cellular_Component_2023,Neuron Projection (GO:0043005),4/557,0.2181525856887452,0.3537253952177104,0,0,1.7078463370528822,2.600299418433134,PALLD;RPS6;DTNBP1;STX3
GO_Cellular_Component_2023,Mitochondrial Intermembrane Space (GO:0005758),1/62,0.2347734924011352,0.3537253952177104,0,0,3.828929604628737,5.548632425072559,ARL2BP
GO_Biological_Process_2023,Positive Regulation Of Protein Ubiquitination (GO:0031398),1/84,0.3042277526751243,0.3563936065199944,0,0,2.810914245216159,3.34492799962935,MTA1
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),1/84,0.3042277526751243,0.3563936065199944,0,0,2.810914245216159,3.34492799962935,RPS6
GO_Biological_Process_2023,Mitotic Spindle Organization (GO:0007052),1/85,0.3072321872240103,0.357850670792436,0,0,2.777310924369748,3.2776476730175657,KIF4A
GO_Biological_Process_2023,Epidermis Development (GO:0008544),1/85,0.3072321872240103,0.357850670792436,0,0,2.777310924369748,3.2776476730175657,PPP3CA
GO_Biological_Process_2023,Positive Regulation Of Amide Metabolic Process (GO:0034250),1/85,0.3072321872240103,0.357850670792436,0,0,2.777310924369748,3.2776476730175657,RPS6KB1
GO_Biological_Process_2023,Regulation Of Osteoblast Differentiation (GO:0045667),1/85,0.3072321872240103,0.357850670792436,0,0,2.777310924369748,3.2776476730175657,PPP3CA
GO_Biological_Process_2023,Cellular Component Assembly (GO:0022607),2/260,0.307916448920737,0.3581345822211148,0,0,1.813953488372093,2.136704432526608,LIMA1;MICAL1
KEGG_2021_Human,Non-small cell lung cancer,1/72,0.2671543160230924,0.3591990803671831,0,0,3.287986743993372,4.3399084793012666,MAPK3
KEGG_2021_Human,Fc epsilon RI signaling pathway,1/68,0.2543677981624342,0.3591990803671831,0,0,3.4849868305531166,4.770856483616748,MAPK3
KEGG_2021_Human,Adherens junction,1/71,0.2639781514229198,0.3591990803671831,0,0,3.335126050420168,4.442017496799639,MAPK3
KEGG_2021_Human,Prolactin signaling pathway,1/70,0.260788382019869,0.3591990803671831,0,0,3.3836317135549874,4.547756661251317,MAPK3
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,1/70,0.260788382019869,0.3591990803671831,0,0,3.3836317135549874,4.547756661251317,JUN
